name,sorted_name,similar_names
David Christian,christian david,['']
Jenifer Corr Morse,corr jenifer morse,['']
William Somerset Maugham,maugham somerset william,"['W. Somerset Maugham, W Somerset Maugham']"
Barbara D. Miller,barbara d. miller,"['Barbara G. Walker, Barbara K. Rimer']"
Gil Scott-Heron,gil scott-heron,['']
Sinclair B. Ferguson,b. ferguson sinclair,['']
Khaled Hosseini,hosseini khaled,['']
Kim Stanley Robinson,kim robinson stanley,['']
Steven K. Thompson,k. steven thompson,['']
Margaret Weis,margaret weis,"['Margaret Weir, Margaret Webster, Margaret Mead, Margaret Way']"
Greg Elliot,elliot greg,['']
Lisa S. Brenner,brenner lisa s.,['']
Justin Gehtland,gehtland justin,['']
Fridjtof Nansen,fridjtof nansen,['Fridtjof Nansen']
William M. Tuttle,m. tuttle william,"['William B. Trattler, William M. Tsutsui']"
David M. Reimers,david m. reimers,['']
Bill McGraw,bill mcgraw,['']
Camryn Manheim,camryn manheim,['']
R J Smith,j r smith,['J.R. Smith']
Betsey Dexter Dyer,betsey dexter dyer,['']
Gerald Robert Allen,allen gerald robert,['']
Erskine Clarke,clarke erskine,['']
Peter Feaver,feaver peter,"['Peter Jenner, Peter Heller, Peter Geiger']"
Carol Lea Benjamin,benjamin carol lea,['']
Andrew Sun,andrew sun,"['Andrew Hunt, Ian Andrew']"
Katrina Repka,katrina repka,['']
Nancy Thayer,nancy thayer,"['Jane Thayer, Nancy Tesler']"
Barbara Frye,barbara frye,"['Barbara Dee, Barbara Love, Barbara Fadem, Barbara Ryden, Barbara Pym, Barbara Vine, Barbara Bray, Barbara Firth']"
Mary Gordon,gordon mary,"['Gordon Parks, Mary Borden, Gordon Murray, Martin Gordon, Max Gordon, Mary Jordan, Jaimy Gordon']"
Joyce Kilmer,joyce kilmer,['']
Seth Benardete,benardete seth,['']
Seth Cagin,cagin seth,['']
George C. Wolfe,c. george wolfe,['']
P.F. Chisholm,chisholm p.f.,['P. F. Chisholm']
Laura Richard,laura richard,"['Richard Blair, Richard Paul, Richard Layard, Richard Marrs, Larry Richards, Richard Parry']"
Neal O. Hammon,hammon neal o.,['']
Robert Crais,crais robert,"['Robert Graves, Robert Rath, Robert Haas, Robert Irwin, Robert Coles, Robert Coates, Roger Craig, Robert Grant, Robert Rand, Robert Hass, Robert Maass, Robert Crisp, Robert Kraus, Robert Harris, Robert Morris, Robert Ellis, Robert Cea, Robert Coram']"
Marc Gregoire,gregoire marc,['']
Elmo Ingenthron,elmo ingenthron,['']
Jo Ann Yolanda Hernández,ann hernández jo yolanda,['']
Frederick R. Prete,frederick prete r.,['']
Trevor Baxendale,baxendale trevor,['']
Who HQ,hq who,['Who Hq']
Roger L. Nichols,l. nichols roger,['Roger L.. Nichols']
Philip Watts,philip watts,['']
Margo Lanagan,lanagan margo,['']
Alissa Quart,alissa quart,['']
Diane Roberts,diane roberts,"['Jane Roberts, Robert Dale']"
Charles Flowers,charles flowers,['']
Catherine Wanek,catherine wanek,"['Catherine Soanes, Catherine Walter, Catherine Whitney, Catherine Palmer, Catherine Ponder, Catherine Mann']"
Niccolò Machiavelli,machiavelli niccolò,['']
Oliver La Farge,farge la oliver,['']
Liz Garrick,garrick liz,['']
David Hutchens,david hutchens,['']
Joseph Chilton Pearce,chilton joseph pearce,['']
Edward Laxton,edward laxton,['']
Stewart Wolpin,stewart wolpin,['']
Paul Tillich,paul tillich,['']
James Grippando,grippando james,['']
Graham Rice,graham rice,"['Graham Joyce, Jorie Graham']"
Peter Martins,martins peter,"['Peter Barton, Peter Marren, Martin Pegler']"
Amitav Ghosh,amitav ghosh,['']
Steve McQuerry,mcquerry steve,['']
Fergus Fleming,fergus fleming,['']
Catherine Anne Covington,anne catherine covington,['']
Juliette Wood,juliette wood,['']
Paul Massiglia,massiglia paul,['']
April Jones Prince,april jones prince,['']
David Gascoyne,david gascoyne,['']
Charles Brandt,brandt charles,['Charles Beard']
Maryland Space Grant Consortium,consortium grant maryland space,['']
J. Kenneth Blackwell,blackwell j. kenneth,['']
Mollie Molay,molay mollie,['']
John Kennedy Toole,john kennedy toole,['']
