Title,authors
The Church of Christ: A Biblical Ecclesiology for Today,['Everett Ferguson']
Voices from the Farm: Adventures in Community Living,['Rupert Fike']
The Battleship Bismarck,['Stefan Draminski']
Tess and the Highlander,['May Mcgoldrick']
Beginner's Yoruba (Hippocrene Beginner's Series),['Kayode J. Fakinlede']
King James: Believe the Hype---The LeBron James Story,['Ryan Jones']
Building the timber frame house: The revival of a forgotten craft,['Tedd Benson']
"Open marriage;: A new life style for couples,","[""Nena O'Neill"", ""George O'Neill""]"
No place to cry: The hurt and healing of sexual abuse,"['Dorie N. Van Stone', 'Erwin W. Lutzer']"
The Impatient Gardener's Lawn Book,['Jerry Baker']
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,['Tom Williams']
Night World: Daughters Of Darkness,['L.J. Smith']
America at 1750: A Social Portrait,['Richard Hofstadter']
Perry Mason in the Case of Too Many Murders,['Thomas Chastain']
How to Discipline Kids without Losing Their Love and Respect,['Jim Fay']
Bruce Lee: The Incomparable Fighter,['M. Uyehara']
"The Art of Technical Documentation, Second Edition","['Kristine Stiles', 'Peter Selz']"
The Rabbi's Cat,['Joann Sfar']
JFK: The Last Dissenting Witness,"['Sloan, Bill']"
From Potter's Field,['Patricia Cornwell']
The Starchild Trilogy,"['Frederik Pohl', 'Jack Williamson']"
Lost Cities of Africa and Arabia (The Lost City Series),['David Hatcher Childress']
Economics in one lesson,['Henry Hazlitt']
Chocolate: The Sweet History,['Sandra Markle']
The Web That Has No Weaver: Understanding Chinese Medicine,['Ted J. Kaptchuk']
A Titanic Journey Across the Sea 1912 (American Sisters),['Laurie Lawlor']
The ABAP Quick Reference,['Horst Keller']
Tales from silver lands,['Charles J. Finger']
Edge of Danger,['Jack Higgins']
"albert einstein, young thinker [ Childhood of Famous Americans series]",['Marie Hammontree']
El Gaucho Martin Fierro/the Gaucho Martin Fierro (Bilingual Edition) (Spanish Edition),['José Hernández']
Dead Sexy,['Amanda Ashley']
Goliath,['Max Blumenthal']
Inside Oscar: the Unofficial History of the Academy Awards,['Damien Bona']
Itten The Elements of Color,['Johannes Itten']
Days of Grass,['Tanith Lee']
Guns for General Washington: A Story of the American Revolution (Great Episodes),['Seymour Reit']
The Living Company,['Arie de Geus']
Tomorrow Will Be Better: A True Story of Love and One Family's Triumph over the Horrors of World War II,['Zdena Kapral']
Poems of the Pearl Manuscript (Exeter Medieval Texts and Studies),"['Malcolm Andrew', 'Ronald Waldron']"
The Monkey's Paw,['W. W. Jacobs']
My World and Welcome to It,['James Thurber']
Plain And Simple - A Woman's Journey To The Amish,['Sue Bender']
