Title,description,authors,image,previewLink,publishedDate,infoLink,ratingsCount
The Church of Christ: A Biblical Ecclesiology for Today,"In The Church of Christ: A Biblical Ecclesiology for Today, respected biblical scholar Everett Ferguson presents a genuine biblical theology of the church. By systematically examining the New Testament's teaching on the existence, meaning, and purpose of the church, providing responsible coverage of the traditional topics in ecclesiology, and carefully grounding ecclesiology in the person and work of Christ, Ferguson unveils a comprehensive model of the church that is both biblically centered and relevant to a world on the verge of the twenty-first century.",['Everett Ferguson'],http://books.google.com/books/content?id=kVqRaiPlx88C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=kVqRaiPlx88C&printsec=frontcover&dq=The+Church+of+Christ:+A+Biblical+Ecclesiology+for+Today&hl=&cd=1&source=gbs_api,1996,http://books.google.nl/books?id=kVqRaiPlx88C&dq=The+Church+of+Christ:+A+Biblical+Ecclesiology+for+Today&hl=&source=gbs_api,5.0
Voices from the Farm: Adventures in Community Living,"Twenty-five years ago, at the height of the counter-culture movement, several hundred hippies drove their school buses into southern Tennessee and founded America's largest, modern-day intentional community, The Farm. In its heyday, the community was home to over 1,200 optimistic young people and the young-at-heart. Their purpose for coming together was to experiment with alternative lifestyles that could help raise the standard of living for impoverished people around the world while conserving the planet's resources. The results of these experiments were not always predictable, but were always interesting, and created lasting bonds among community members that are still strong today. The Farm remains a vibrant, working environment for change. Why has it lasted so long? Discover the answers as members past and present recount some of their more memorable experiences.",['Rupert Fike'],http://books.google.com/books/content?id=IjTABgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=IjTABgAAQBAJ&pg=PP1&dq=Voices+from+the+Farm:+Adventures+in+Community+Living&hl=&cd=1&source=gbs_api,2012-08-21,https://play.google.com/store/books/details?id=IjTABgAAQBAJ&source=gbs_api,1.0
The Battleship Bismarck,"The Bismarck is perhaps the most famous – and notorious – warship ever built. Completed in 1941, the 45,000-ton German battleship sank HMS Hood, the pride of the British Navy, during one of the most sensational encounters in naval history. Following the sinking, Bismarck was chased around the North Atlantic by many units of the Royal Navy. She was finally dispatched with gunfire and torpedoes on 27 May, less than five months after her completion. Her wreck still lies where she sank, 4,800m down and 960km off the west coast of France. Drawing on new research and technology, this edition is the most comprehensive examination of Bismarck ever published. It includes a complete set of detailed line drawings with fully descriptive keys and full-colour 3D artwork, supported by technical details, photographs and text on the building of the ship and a record of the ship's service history.",['Stefan Draminski'],http://books.google.com/books/content?id=nxttDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=nxttDwAAQBAJ&printsec=frontcover&dq=The+Battleship+Bismarck&hl=&cd=1&source=gbs_api,2018-09-20,https://play.google.com/store/books/details?id=nxttDwAAQBAJ&source=gbs_api,1.0
Tess and the Highlander,"In 1543, on a windswept isle off of Scotland, seventeen-year-old Tess finds a young man half alive in a tidal pool while a great storm rages around them, but little does Tess know that this stranger holds the key to her mysterious past and to her heart. Original.",['May Mcgoldrick'],http://books.google.com/books/content?id=VmCRSPmY3WkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=VmCRSPmY3WkC&dq=Tess+and+the+Highlander&hl=&cd=1&source=gbs_api,2002-11,http://books.google.nl/books?id=VmCRSPmY3WkC&dq=Tess+and+the+Highlander&hl=&source=gbs_api,2.0
Beginner's Yoruba (Hippocrene Beginner's Series),"""Beginner's Yoruba"" is now available with two accompanying audio CDs. It provides an introduction to the Yoruba language, which is spoken by over 30 million people in south-western Nigeria, parts of the Benin Republic, and Togo, as well as in the diaspora populations of Brazil, Cuba, and Haiti. The 15 lessons are designed for both classroom use and self-study. Practice dialogues, combined with grammatical explanations, aid the student in understanding the basics of the language. Each lesson also contains a vocabulary section that highlights the important aspects of its featured topic. The audio CDs, which complement the lessons, help the student easily master the language's unique tones and vowel sounds, often considered the most difficult aspect of the language to learn. Quizzes and practice exercises are integrated into the lessons to help reinforce the material. The book also includes information on various aspects of Yoruba culture, including religion, songs, and folklore.",['Kayode J. Fakinlede'],http://books.google.com/books/content?id=xLe4nWzeSw0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=xLe4nWzeSw0C&pg=PP1&dq=Beginner%27s+Yoruba+(Hippocrene+Beginner%27s+Series)&hl=&cd=1&source=gbs_api,2005,http://books.google.nl/books?id=xLe4nWzeSw0C&dq=Beginner%27s+Yoruba+(Hippocrene+Beginner%27s+Series)&hl=&source=gbs_api,1.0
King James: Believe the Hype---The LeBron James Story,"LeBron James is a six-foot-eight gift from the basketball heavens. For the past three years he was the undisputed finest high school player in America. He was the one NBA scouts drooled over, corporations dreamt of, event promoters begged for, and now NBA fans clamor after. With appearances on the cover of Sports Illustrated and features on ESPN and in newspapers across the country, never before has a high school basketball player been so highly touted or an eighteen-year-old athlete been the subject of such fascination. In fact, no basketball player in the world has had this level of attention this year. Love him or hate him, there is no denying that LeBron James is a force on the basketball court, and his rags-to riches story is the stuff that dreams are made of. Now, for the first time, author Ryan Jones has written a book that incorporates everything that is King James: the controversy, the athletic potential, the jerseys and the Humvee, the hobnobbing with the world's most famous stars, the money, and, of course, the game. This is a book for every fan of LeBron James and for anybody interested in reading about an NBA basketball career in the making.",['Ryan Jones'],http://books.google.com/books/content?id=hlGqehyJhywC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=hlGqehyJhywC&printsec=frontcover&dq=King+James:+Believe+the+Hype---The+LeBron+James+Story&hl=&cd=1&source=gbs_api,2003-10-10,https://play.google.com/store/books/details?id=hlGqehyJhywC&source=gbs_api,1.0
Building the timber frame house: The revival of a forgotten craft,"For centuries, post-and-beam construction has proved to be one of the most durable building techniques. It is being enthusiastically revived today not only for its sturdiness but because it can be easily insulated, it is attractive, and it offers the builder the unique satisfaction of working with timbers. Building the Timber Frame House is the most comprehensive manual available on the technique. In it you will find a short history, of timber framing and a fully illustrated discussion of the different kinds of joinery, assembly of timbers, and raising of the frame. There are also detailed sections on present-day design and materials, house plans, site development, foundation laying, insulation, tools, and methods.",['Tedd Benson'],http://books.google.com/books/content?id=6uxXorE4r-UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=6uxXorE4r-UC&printsec=frontcover&dq=Building+the+timber+frame+house:+The+revival+of+a+forgotten+craft&hl=&cd=1&source=gbs_api,1981-09-01,https://play.google.com/store/books/details?id=6uxXorE4r-UC&source=gbs_api,1.0
"Open marriage;: A new life style for couples,",Advocates the importance of individuality in both partners in order to develop an open relationship in marriage,"[""Nena O'Neill"", ""George O'Neill""]",http://books.google.com/books/content?id=xY2SD7v3070C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=xY2SD7v3070C&pg=PR14&dq=Open+marriage%3B:+A+new+life+style+for+couples,&hl=&cd=1&source=gbs_api",1984,"http://books.google.nl/books?id=xY2SD7v3070C&dq=Open+marriage%3B:+A+new+life+style+for+couples,&hl=&source=gbs_api",1.0
No place to cry: The hurt and healing of sexual abuse,"Just as God gave Dorie Van Stone a tender heart to forgive her abusers, He also gave her the strength to reveal her past in No Place to Cry, the sequel to the best-seller Dorie: The Girl Nobody Loved. Through her candor you will gain insight into the trauma of emotional and sexual abuse.","['Dorie N. Van Stone', 'Erwin W. Lutzer']",http://books.google.com/books/content?id=J9NKUAfjGU8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=J9NKUAfjGU8C&printsec=frontcover&dq=No+place+to+cry:+The+hurt+and+healing+of+sexual+abuse&hl=&cd=1&source=gbs_api,1992-05-09,https://play.google.com/store/books/details?id=J9NKUAfjGU8C&source=gbs_api,4.0
The Impatient Gardener's Lawn Book,"Explains how to grow a green, beautiful lawn and offers advice on fertilizers, watering, and lawn diseases",['Jerry Baker'],http://books.google.com/books/content?id=h-R4Nt0spJUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=h-R4Nt0spJUC&dq=The+Impatient+Gardener%27s+Lawn+Book&hl=&cd=1&source=gbs_api,1987,http://books.google.nl/books?id=h-R4Nt0spJUC&dq=The+Impatient+Gardener%27s+Lawn+Book&hl=&source=gbs_api,1.0
The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,"This beautifully illustrated, full-color book explains the basic principles of Chinese medicine, the causes of disharmony in the body that lead to disease and the Chinese approach to diagnosis and treatment.",['Tom Williams'],http://books.google.com/books/content?id=XMMFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=XMMFAAAACAAJ&dq=The+Complete+Illustrated+Guide+to+Chinese+Medicine:+A+Comprehensive+System+for+Health+and+Fitness&hl=&cd=1&source=gbs_api,2003,http://books.google.nl/books?id=XMMFAAAACAAJ&dq=The+Complete+Illustrated+Guide+to+Chinese+Medicine:+A+Comprehensive+System+for+Health+and+Fitness&hl=&source=gbs_api,1.0
Night World: Daughters Of Darkness,"""There’s something strange about the new girls in town. Briar Creek, Oregon, has never seen anything like the supernatural grace of Rowan, Kestrel, and Jade, three sisters who move into the dilapidated old house next to Mark and Mary-Lynnette Carter""--Publisher.",['L.J. Smith'],http://books.google.com/books/content?id=c9icDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=c9icDQAAQBAJ&printsec=frontcover&dq=Night+World:+Daughters+Of+Darkness&hl=&cd=1&source=gbs_api,2016-12-06,http://books.google.nl/books?id=c9icDQAAQBAJ&dq=Night+World:+Daughters+Of+Darkness&hl=&source=gbs_api,11.0
America at 1750: A Social Portrait,"Demonstrates how the colonies developed into the first nation created under the influences of nationalism, modern capitalism and Protestantism.",['Richard Hofstadter'],http://books.google.com/books/content?id=uMVMAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=uMVMAAAAMAAJ&q=America+at+1750:+A+Social+Portrait&dq=America+at+1750:+A+Social+Portrait&hl=&cd=1&source=gbs_api,1973,http://books.google.nl/books?id=uMVMAAAAMAAJ&dq=America+at+1750:+A+Social+Portrait&hl=&source=gbs_api,2.0
Perry Mason in the Case of Too Many Murders,"A Los Angeles businessman kills his dinner companion and is himself murdered minutes later, leaving his estranged wife, the prime suspect in the case, to contact Perry Mason for help",['Thomas Chastain'],http://books.google.com/books/content?id=oOdmGU8i_H8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=oOdmGU8i_H8C&q=Perry+Mason+in+the+Case+of+Too+Many+Murders&dq=Perry+Mason+in+the+Case+of+Too+Many+Murders&hl=&cd=1&source=gbs_api,1990-07,http://books.google.nl/books?id=oOdmGU8i_H8C&dq=Perry+Mason+in+the+Case+of+Too+Many+Murders&hl=&source=gbs_api,2.0
How to Discipline Kids without Losing Their Love and Respect,"Imagine... No More Arguing. Imagine... No More Manipulation. Imagine... Stess Free Parenting. For over fifty years, Jim Fay has worked with schools, families, and children in the areas of teaching, parenting and discipline. In 1977, along with internationally renowned psychiatrist Dr. Foster W. Cline, he founded the Love and Logic Institute, Inc. which is dedicated to helping parents and educators create responsible kids. We know you will enjoy this book by beloved storyteller and parenting expert, Jim Fay, as he speaks to parents, educators, and community leaders about how to discipline kids without losing their love or respect.",['Jim Fay'],http://books.google.com/books/content?id=IWXqPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=IWXqPAAACAAJ&dq=How+to+Discipline+Kids+without+Losing+Their+Love+and+Respect&hl=&cd=1&source=gbs_api,2004-01-01,http://books.google.nl/books?id=IWXqPAAACAAJ&dq=How+to+Discipline+Kids+without+Losing+Their+Love+and+Respect&hl=&source=gbs_api,1.0
Bruce Lee: The Incomparable Fighter,"Get to know the true Bruce Lee through the eyes of his friend, M. Uyehara. Pound for pound, he may have been the greatest fighter who ever lived. Read about his good and bad times, his dreams and destiny shattered by his early death.",['M. Uyehara'],http://books.google.com/books/content?id=Z4qHatHRJlsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Z4qHatHRJlsC&printsec=frontcover&dq=Bruce+Lee:+The+Incomparable+Fighter&hl=&cd=1&source=gbs_api,1988,http://books.google.nl/books?id=Z4qHatHRJlsC&dq=Bruce+Lee:+The+Incomparable+Fighter&hl=&source=gbs_api,2.0
"The Art of Technical Documentation, Second Edition","An essential text in the field of contemporary art history, it has now been updated to represent 30 countries and over 100 new artists. The internationalism evident in this revised edition reflects the growing interest in contemporary art throughout the world from the U.S. and Europe to the Middle East, Asia, Africa, Latin America, and Australia.","['Kristine Stiles', 'Peter Selz']",http://books.google.com/books/content?id=5qklDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=5qklDQAAQBAJ&pg=PA463&dq=The+Art+of+Technical+Documentation,+Second+Edition&hl=&cd=1&source=gbs_api",2012-09-25,"http://books.google.nl/books?id=5qklDQAAQBAJ&dq=The+Art+of+Technical+Documentation,+Second+Edition&hl=&source=gbs_api",1.0
The Rabbi's Cat,"Gaining the ability to speak after swallowing a parakeet, the rabbi's cat uses his newfound talent to tell lies, the consequences of which lead to being banned from contact with the rabbi's daughter and an education in the Torah, despite his preference for the Kabbalah and his desire for a bar mitvah. Mature.",['Joann Sfar'],http://books.google.com/books/content?id=cNQbAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=cNQbAQAAIAAJ&q=The+Rabbi%27s+Cat&dq=The+Rabbi%27s+Cat&hl=&cd=1&source=gbs_api,2005,http://books.google.nl/books?id=cNQbAQAAIAAJ&dq=The+Rabbi%27s+Cat&hl=&source=gbs_api,25.0
JFK: The Last Dissenting Witness,"Jean Hill, the ""lady in red"" in Zapruder's Kennedy assassination film, saw a gunman on the famous grassy knoll on November 22, 1963. That gunman was NOT Lee Harvey Oswald. In this highly personal narrative, Hill discloses the trauma and intimidation she experienced as well as her struggle to keep her career and her sanity after she, a single mother of two, became embroiled in the greatest murder mystery of the century.","['Sloan, Bill']",http://books.google.com/books/content?id=BPKo3kC3YtIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=BPKo3kC3YtIC&printsec=frontcover&dq=JFK:+The+Last+Dissenting+Witness&hl=&cd=1&source=gbs_api,2010-09-23,https://play.google.com/store/books/details?id=BPKo3kC3YtIC&source=gbs_api,1.0
From Potter's Field,"The sixth book in the Kay Scarpetta series, from No. 1 bestselling author Patricia Cornwell. 'America's most chilling writer of crime fiction' The Times Christmas had never been a particularly good time for Dr Kay Scarpetta. Although a holiday for most, it always seem to heighten the alienation felt by society's violent fringe; and that usually means more work for Scarpetta, Virginia's Chief Medical Examiner. The body was naked, female and found propped against a fountain in a bleak area of New York's Central Park. Her apparent manner of death points to a modus operandi that is chillingly familiar: the gunshot wound to the head, the sections of skin excised from the body, the displayed corpse - all suggest that Temple Brooks Gault, Scarpetta's nemesis, is back at work. Calling on all her reserves of courage and skill, and the able assistance of colleagues Marino and Wesley, Scarpetta must track this most dangerous of killers in pursuit of survival as well as justice - heading inexorably to an electrifying climax amid the dark, menacing labyrinths of the New York subway. Praise for the groundbreaking series: 'One of the best crime writers writing today' Guardian 'Devilishly clever' Sunday Times 'The top gun in this field' Daily Telegraph 'Forget the pretenders. Cornwell reigns' Mirror 'The Agatha Christie of the DNA age' Express",['Patricia Cornwell'],http://books.google.com/books/content?id=prefgSxnGOwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=prefgSxnGOwC&printsec=frontcover&dq=From+Potter%27s+Field&hl=&cd=1&source=gbs_api,2008-09-04,https://play.google.com/store/books/details?id=prefgSxnGOwC&source=gbs_api,19.0
Lost Cities of Africa and Arabia (The Lost City Series),"Join Childress as he discovers forbidden cities in the Empty Quarter of Arabia, 'Atlantean' ruins in Egypt and the Kalahari desert; a mysterious, ancient empire in the Sahara; and more. This is an extraordinary life on the road: across war torn countries Childress searches for King Solomon's Mines, living dinosaurs, the Ark of the Covenant and the solutions to the fantastic mysteries of the past.",['David Hatcher Childress'],http://books.google.com/books/content?id=prq6ykijSyQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=prq6ykijSyQC&printsec=frontcover&dq=Lost+Cities+of+Africa+and+Arabia+(The+Lost+City+Series)&hl=&cd=1&source=gbs_api,1989,http://books.google.nl/books?id=prq6ykijSyQC&dq=Lost+Cities+of+Africa+and+Arabia+(The+Lost+City+Series)&hl=&source=gbs_api,2.0
Economics in one lesson,"With over a million copies sold, Economics in One Lesson is an essential guide to the basics of economic theory. A fundamental influence on modern libertarianism, Hazlitt defends capitalism and the free market from economic myths that persist to this day. Considered among the leading economic thinkers of the “Austrian School,” which includes Carl Menger, Ludwig von Mises, Friedrich (F.A.) Hayek, and others, Henry Hazlitt (1894-1993), was a libertarian philosopher, an economist, and a journalist. He was the founding vice-president of the Foundation for Economic Education and an early editor of The Freeman magazine, an influential libertarian publication. Hazlitt wrote Economics in One Lesson, his seminal work, in 1946. Concise and instructive, it is also deceptively prescient and far-reaching in its efforts to dissemble economic fallacies that are so prevalent they have almost become a new orthodoxy. Economic commentators across the political spectrum have credited Hazlitt with foreseeing the collapse of the global economy which occurred more than 50 years after the initial publication of Economics in One Lesson. Hazlitt’s focus on non-governmental solutions, strong — and strongly reasoned — anti-deficit position, and general emphasis on free markets, economic liberty of individuals, and the dangers of government intervention make Economics in One Lesson every bit as relevant and valuable today as it has been since publication.",['Henry Hazlitt'],http://books.google.com/books/content?id=A50iBxwt7qMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=A50iBxwt7qMC&printsec=frontcover&dq=Economics+in+one+lesson&hl=&cd=1&source=gbs_api,2010-08-11,https://play.google.com/store/books/details?id=A50iBxwt7qMC&source=gbs_api,18.0
